datetime,SC1,SC2,SC3,SC4,SC5
2016-09-05 17:00:00,21.0,120.81,166.75,296.91,703.78
2016-09-05 19:00:00,13.48,109.26,144.26,368.55,781.62
2016-09-05 21:00:00,16.13,97.94,149.65,309.36,1049.21
2016-09-05 23:00:00,20.37,58.45,102.88,273.73,1153.87
2016-09-06 01:00:00,11.29,45.16,76.77,209.21,895.85
2016-09-06 05:00:00,13.6,57.44,134.93,470.0,1419.16
2016-09-06 07:00:00,13.89,79.38,172.16,547.46,1343.31
2016-09-06 09:00:00,21.7,86.32,291.06,646.47,1413.38
2016-09-06 11:00:00,24.01,145.88,302.54,813.26,1544.62
2016-09-06 13:00:00,25.1,148.94,364.41,881.28,1484.18
2016-09-06 17:00:00,31.56,200.22,456.64,1031.84,1503.01
2016-09-06 19:00:00,25.55,307.09,673.44,1009.1,1580.38
2016-09-06 21:00:00,31.34,301.97,622.66,982.38,1352.52
2016-09-06 23:00:00,39.5,301.15,561.29,813.41,1010.65
2016-09-07 01:00:00,51.7,331.97,489.37,593.56,726.37
2016-09-07 03:00:00,63.77,312.74,396.92,511.58,577.83
2016-09-07 05:00:00,55.64,283.78,335.7,415.13,548.75
2016-09-07 07:00:00,30.45,194.61,278.22,437.75,576.64
2016-09-07 09:00:00,13.32,90.1,148.16,231.16,578.86
2016-09-07 11:00:00,18.79,86.22,131.58,225.12,628.9
2016-09-07 13:00:00,15.39,98.45,121.27,197.19,578.53
2016-09-07 15:00:00,18.24,85.96,121.75,221.78,537.06
2016-09-07 17:00:00,14.16,66.5,97.91,171.81,605.84
2016-09-07 19:00:00,12.18,51.73,57.28,86.65,221.89
2016-09-07 21:00:00,19.08,52.38,64.53,79.5,171.62
2016-09-07 23:00:00,14.8,55.65,60.28,82.91,171.52
2016-09-08 03:00:00,12.2,49.54,76.21,105.81,269.02
2016-09-08 05:00:00,12.2,55.61,70.35,141.39,279.11
2016-09-08 07:00:00,10.59,47.45,70.21,147.09,496.32
2016-09-08 11:00:00,8.73,48.33,111.13,230.57,657.48
2016-09-08 13:00:00,9.28,90.3,180.42,301.8,936.35
2016-09-08 17:00:00,13.48,161.21,227.36,361.81,1103.19
2016-09-08 19:00:00,15.09,185.88,237.04,484.13,1302.99
2016-09-08 21:00:00,13.77,155.45,241.21,587.76,1331.84
2016-09-08 23:00:00,13.22,152.03,239.12,630.25,1475.08
2016-09-09 01:00:00,15.18,144.63,260.58,694.29,1309.06
2016-09-09 03:00:00,21.62,153.61,284.45,669.82,1190.43
2016-09-09 05:00:00,20.43,182.53,391.24,704.03,1297.07
2016-09-09 07:00:00,20.21,185.99,349.74,655.48,1132.99
2016-09-09 09:00:00,12.81,165.41,362.38,733.18,1168.62
2016-09-09 11:00:00,13.22,131.53,245.24,441.51,709.33
2016-09-09 13:00:00,15.19,138.44,263.15,470.38,742.15
2016-09-09 15:00:00,14.89,157.93,318.52,522.82,754.88
2016-09-09 17:00:00,19.13,222.44,485.62,833.23,1425.24
2016-09-09 19:00:00,45.27,341.21,777.75,1459.8,1687.89
2016-09-09 21:00:00,23.65,322.03,762.73,1268.07,1729.8
2016-09-09 23:00:00,27.77,337.4,771.17,1329.58,1986.15
2016-09-10 01:00:00,26.86,296.3,573.28,1079.27,1926.38
2016-09-10 03:00:00,57.05,264.82,473.42,923.06,1560.28
2016-09-10 05:00:00,75.55,288.03,447.19,747.51,1066.65
2016-09-10 07:00:00,110.18,291.65,372.14,628.49,906.92
2016-09-10 09:00:00,103.27,280.2,410.96,554.08,709.22
2016-09-10 11:00:00,164.39,335.63,531.81,770.26,857.2
2016-09-10 13:00:00,244.46,609.37,737.22,973.06,1027.26
2016-09-10 15:00:00,242.38,684.44,858.31,896.84,1072.95
2016-09-10 17:00:00,174.76,656.95,868.71,927.53,1140.75
2016-09-10 19:00:00,135.63,458.87,598.96,844.13,1179.24
2016-09-10 21:00:00,125.31,413.76,618.95,855.63,1186.24
2016-09-10 23:00:00,109.75,394.69,600.9,938.19,1185.82
2016-09-11 01:00:00,56.08,360.2,576.73,892.15,1289.89
2016-09-11 03:00:00,80.66,318.67,602.62,925.91,1319.12
2016-09-11 05:00:00,95.2,367.63,640.17,945.71,1280.05
2016-09-11 07:00:00,125.23,397.44,667.03,973.16,1145.48
2016-09-11 09:00:00,139.54,505.13,765.9,845.96,1115.49
2016-09-11 11:00:00,121.78,444.5,614.64,779.03,1026.3
2016-09-11 13:00:00,113.0,450.19,628.14,759.97,883.69
2016-09-11 15:00:00,117.17,474.6,676.83,782.74,890.08
2016-09-11 17:00:00,166.92,554.99,616.32,756.86,882.83
2016-09-11 19:00:00,198.43,562.21,762.28,887.11,972.34
2016-09-11 21:00:00,220.46,420.62,357.72,875.27,1136.74
2016-09-11 23:00:00,28.07,107.7,119.25,224.02,552.73
2016-09-12 03:00:00,13.06,78.59,95.27,179.31,658.69
2016-09-12 19:00:00,30.49,100.81,158.68,389.89,876.14
2016-09-12 21:00:00,30.63,100.17,164.36,376.71,838.38
2016-09-12 23:00:00,31.34,104.7,169.22,516.73,769.71
2016-09-13 01:00:00,37.16,118.73,193.59,390.06,778.74
2016-09-13 03:00:00,29.27,106.01,199.82,421.87,862.21
2016-09-13 07:00:00,29.25,101.42,130.19,261.05,673.17
2016-09-13 09:00:00,20.81,83.58,166.58,293.8,597.24
2016-09-13 11:00:00,22.42,115.57,219.34,428.19,883.24
2016-09-13 13:00:00,20.32,94.71,258.85,515.02,1052.42
2016-09-13 15:00:00,20.1,102.81,280.22,624.24,1319.24
