datetime,mode1_d,mode1_sigma,mode1_n,mode2_d,mode2_sigma,mode2_n
2020-01-29 17:00:00,33.818323137766015,1.75,112.24246399326644,177.92222397801424,1.75,172.72515533831012
2020-01-29 19:00:00,46.50672387383336,1.75,105.4005712264109,188.63839692809853,1.75,235.32438993330737
2020-01-29 21:00:00,46.50672387383336,1.75,120.16430158635423,177.92222397801424,1.75,352.4914134637848
2020-01-29 23:00:00,54.537796345605905,1.75,192.0662035299043,167.81481554547315,1.75,354.07344645289896
2020-01-30 01:00:00,54.537796345605905,1.75,262.7566550462767,158.281588926413,1.75,478.50494510538715
2020-01-30 03:00:00,56.74654359310128,1.75,171.1927580127472,170.59108258671063,1.75,513.868410709311
2020-01-30 05:00:00,54.537796345605905,1.75,83.65786854574563,158.281588926413,1.75,547.1591377473611
2020-01-30 07:00:00,75.33030173383163,1.75,196.02059365082548,170.59108258671063,1.75,527.6047370498947
2020-01-30 09:00:00,54.537796345605905,1.75,92.16747456216378,149.28992599155407,1.75,496.5877227870729
2020-01-30 11:00:00,54.537796345605905,1.75,80.77293664932996,149.28992599155407,1.75,460.331574872913
2020-01-30 13:00:00,49.252044986558545,1.75,97.03722470649353,148.89360412999696,1.75,494.7473189497632
2020-01-30 15:00:00,56.74654359310128,1.75,151.3442092311741,148.89360412999696,1.75,431.31984618498865
2020-01-30 17:00:00,56.74654359310128,1.75,106.09406438162024,148.89360412999696,1.75,375.6445023926693
2020-01-30 19:00:00,54.537796345605905,1.75,122.19344340739927,149.28992599155407,1.75,365.0906167757974
2020-01-30 21:00:00,49.252044986558545,1.75,118.54964823111126,148.89360412999696,1.75,370.6831580773367
2020-01-30 23:00:00,63.95572473141427,1.75,145.31715480152826,158.281588926413,1.75,385.37504385885694
2020-01-31 01:00:00,63.95572473141427,1.75,162.26958084081357,158.281588926413,1.75,427.67322297269936
2020-01-31 03:00:00,65.38145188981625,1.75,175.01295927870697,170.59108258671063,1.75,452.2735443026314
2020-01-31 05:00:00,65.38145188981625,1.75,128.17451177096262,170.59108258671063,1.75,495.5375961669896
2020-01-31 07:00:00,65.38145188981625,1.75,127.57459978882792,170.59108258671063,1.75,509.19222737062086
2020-01-31 09:00:00,75.33030173383163,1.75,209.1002493128111,170.59108258671063,1.75,462.5141369945584
2020-01-31 11:00:00,65.38145188981625,1.75,240.46996826469743,170.59108258671063,1.75,491.6383656195944
2020-01-31 13:00:00,56.74654359310128,1.75,186.2549505795293,170.59108258671063,1.75,463.3606166615281
2020-01-31 15:00:00,24.59169093383166,1.75,157.49864294976936,149.28992599155407,1.75,530.3840080407555
2020-01-31 17:00:00,27.948833178791297,1.75,202.5624343744165,170.59108258671063,1.75,587.6168015043559
2020-01-31 19:00:00,42.747342512203495,1.75,128.9985169038011,170.59108258671063,1.75,637.123232603602
2020-01-31 21:00:00,54.537796345605905,1.75,140.0248574187358,177.92222397801424,1.75,547.479591209501
2020-01-31 23:00:00,56.74654359310128,1.75,193.51299417823716,170.59108258671063,1.75,610.7814160616674
2020-02-01 01:00:00,63.95572473141427,1.75,167.30498589464094,177.92222397801424,1.75,565.2260728386807
2020-02-01 03:00:00,75.33030173383163,1.75,210.33826905761913,195.45041997034318,1.75,546.6302872024501
2020-02-01 05:00:00,63.95572473141427,1.75,201.4407582240806,188.63839692809853,1.75,601.5284818967142
2020-02-01 07:00:00,63.95572473141427,1.75,185.12140647329397,188.63839692809853,1.75,563.4635312255805
2020-02-01 09:00:00,54.537796345605905,1.75,102.37234203802117,188.63839692809853,1.75,448.62749613080143
2020-02-01 11:00:00,46.50672387383336,1.75,90.28758769390465,177.92222397801424,1.75,328.3937618875263
2020-02-01 15:00:00,39.65828306979712,1.75,161.76514708650873,149.28992599155407,1.75,129.79605345335304
2020-02-01 17:00:00,24.59169093383166,1.75,139.24191994282694,78.45698564561687,1.75,139.85210577452258
2020-02-01 23:00:00,28.838338206359808,1.75,331.910566882716,118.1492334832489,1.75,121.9663891704338
2020-02-02 01:00:00,42.747342512203495,1.75,232.266191983556,170.59108258671063,1.75,62.872834938339196
2020-02-02 03:00:00,46.50672387383336,1.75,219.86020679811767,167.81481554547315,1.75,100.60975744238343
2020-02-02 05:00:00,46.50672387383336,1.75,233.64115461546635,149.28992599155407,1.75,129.48243102295396
2020-02-02 07:00:00,46.50672387383336,1.75,252.0939396933664,140.80906158280615,1.75,127.92553792344171
2020-02-02 13:00:00,39.65828306979712,1.75,240.14171197856416,158.281588926413,1.75,54.43959953661824
2020-02-02 15:00:00,33.818323137766015,1.75,266.65712043888163,149.28992599155407,1.75,99.35047913397092
2020-02-02 17:00:00,39.65828306979712,1.75,382.6016852027913,200.00000000000003,1.75,59.76519838115933
2020-02-02 19:00:00,39.65828306979712,1.75,481.3357063020883,200.00000000000003,1.75,52.50311322061915
2020-02-02 21:00:00,39.65828306979712,1.75,332.88014276566247,200.00000000000003,1.75,71.48452523135838
2020-02-02 23:00:00,42.747342512203495,1.75,178.6312186837951,195.45041997034318,1.75,94.44299588238185
2020-02-03 01:00:00,39.65828306979712,1.75,65.8535169935615,177.92222397801424,1.75,137.56709907732278
2020-02-03 03:00:00,33.818323137766015,1.75,54.172674824931505,177.92222397801424,1.75,158.50787053252932
2020-02-03 05:00:00,28.838338206359808,1.75,58.143662121442674,177.92222397801424,1.75,92.7485627800563
2020-02-03 11:00:00,12.792922523610184,1.633333333333335,1196.8112461441608,47.62379705665398,1.7666666666666688,177.22478099555502
2020-02-03 15:00:00,8.612762834164492,1.5000000000000013,2754.941608912081,52.09935278563838,2.0333333333333363,189.96561435933634
2020-02-03 17:00:00,9.132846225878149,1.5666666666666682,3182.203263180023,45.65504326881386,1.633333333333335,147.21010810029009
2020-02-04 03:00:00,21.05394036466873,1.75,3040.5327351933206,170.59108258671063,1.75,89.61477667680133
2020-02-04 07:00:00,24.25763935357987,1.75,834.7138776110854,148.89360412999696,1.75,101.30615337692042
2020-02-04 13:00:00,28.838338206359808,1.75,676.9029239729233,132.8099782496523,1.75,101.38523931140526
2020-02-04 17:00:00,26.877816579222895,1.9000000000000026,959.4851774319684,136.8376232716328,1.3333333333333341,93.81750195899411
2020-02-04 19:00:00,24.59169093383166,1.75,1116.0820902351522,93.50424203083215,1.75,198.7058196984031
2020-02-04 21:00:00,28.838338206359808,1.75,665.7076820949818,140.80906158280615,1.75,129.20954072832893
2020-02-04 23:00:00,32.20170209763737,1.75,432.14726376312314,170.59108258671063,1.75,115.69592180485321
2020-02-05 03:00:00,32.20170209763737,1.75,628.8477064392648,113.42674707060763,1.75,223.08109406609879
2020-02-05 05:00:00,37.101714098457045,1.75,686.8093855596753,113.42674707060763,1.75,287.2889406151983
2020-02-05 09:00:00,25.72190194682039,2.06666666666667,611.8611628567386,142.7383862508473,1.2333333333333338,41.90772307763259
2020-02-05 11:00:00,8.242532996162726,2.06666666666667,879.02996528004,43.76767718453145,1.933333333333336,475.5621638589147
2020-02-05 15:00:00,17.882355092578585,1.75,567.979295592314,74.00000000000001,1.75,194.2335279286233
2020-02-05 17:00:00,21.318826501104283,2.06666666666667,724.5994252966466,131.7429158158413,1.2666666666666673,46.14067211282211
2020-02-05 21:00:00,21.05394036466873,1.75,330.9605960855501,129.95582778807707,1.75,51.94165590927513
2020-02-06 05:00:00,18.2733529185564,1.75,429.5398897951106,98.99999999999994,1.75,62.55156113426448
2020-02-06 15:00:00,7.330803990838306,1.5666666666666682,1107.7884351309974,43.76767718453145,1.9666666666666694,489.0871363170378
2020-02-06 17:00:00,7.330803990838306,1.466666666666668,1306.4449962003393,43.76767718453145,2.06666666666667,496.67240736185283
2020-02-06 21:00:00,13.968558301931273,1.466666666666668,1467.3334536743557,50.14570959472582,2.06666666666667,291.2213723269069
2020-02-06 23:00:00,15.859996803565926,1.75,1507.0503730823389,113.42674707060763,1.75,149.01473539513603
2020-02-07 01:00:00,18.2733529185564,1.75,1474.2581175535574,129.95582778807707,1.75,171.61205889972388
2020-02-07 03:00:00,20.97039221392209,1.75,1629.4529417814563,149.28992599155407,1.75,153.9039933269478
2020-02-07 09:00:00,27.948833178791297,1.75,1097.0854040943311,170.59108258671063,1.75,103.54917779164028
2020-02-07 11:00:00,15.249053064671498,1.75,605.8307148541903,74.00000000000001,1.75,214.43050420215246
2020-02-07 13:00:00,10.020956393836027,2.06666666666667,1108.8562486998271,43.76767718453145,1.9000000000000026,762.4833830931038
2020-02-07 17:00:00,16.411624779464017,2.06666666666667,1080.8404987630463,43.76767718453145,2.0000000000000027,722.8319389425344
2020-02-07 19:00:00,32.72190546929523,1.700000000000002,1852.5187126070468,165.79641991404475,1.3666666666666676,155.6271896516298
2020-02-07 21:00:00,54.537796345605905,1.75,436.2208517935098,188.63839692809853,1.75,190.9895500580918
2020-02-07 23:00:00,54.537796345605905,1.75,406.772874268791,188.63839692809853,1.75,157.01013829606845
2020-02-08 03:00:00,46.50672387383336,1.75,245.06594681100904,188.63839692809853,1.75,77.83524936673432
2020-02-08 09:00:00,54.537796345605905,1.75,152.83291575701872,200.00000000000003,1.75,14.21591536943638
2020-02-08 11:00:00,33.818323137766015,1.75,92.04308583804993,74.00000000000001,1.75,139.7545778553336
2020-02-08 13:00:00,63.95572473141427,1.75,334.2075096724951,177.92222397801424,1.75,49.124691541956025
2020-02-08 15:00:00,63.95572473141427,1.75,494.76210441803227,188.63839692809853,1.75,135.68499876719318
2020-02-08 17:00:00,63.95572473141427,1.75,470.00969366079113,177.92222397801424,1.75,238.71410868400122
2020-02-08 19:00:00,63.95572473141427,1.75,286.8589122272632,177.92222397801424,1.75,314.19979433687365
2020-02-08 21:00:00,49.252044986558545,1.75,164.53120759003778,195.45041997034318,1.75,274.5547974810681
2020-02-08 23:00:00,39.65828306979712,1.75,93.07787216775756,167.81481554547315,1.75,89.25658439838668
2020-02-09 05:00:00,28.838338206359808,1.75,16.634567995361458,158.281588926413,1.75,22.30840302665172
2020-02-09 07:00:00,28.838338206359808,1.75,28.653501685278272,167.81481554547315,1.75,24.02556948833572
2020-02-09 09:00:00,39.65828306979712,1.75,86.2435531789587,200.00000000000003,1.75,262.8145580388003
2020-02-09 11:00:00,54.537796345605905,1.75,260.1448446885318,200.00000000000003,1.75,463.6692798409811
2020-02-09 13:00:00,56.74654359310128,1.75,312.95033272192666,170.59108258671063,1.75,331.0017593706095
2020-02-09 15:00:00,56.74654359310128,1.75,333.9293759084864,148.89360412999696,1.75,388.647058546565
2020-02-09 17:00:00,54.537796345605905,1.75,167.60603429424793,158.281588926413,1.75,423.8289837273506
2020-02-09 19:00:00,37.101714098457045,1.75,128.81727658952212,148.89360412999696,1.75,428.6848585638234
2020-02-09 21:00:00,49.252044986558545,1.75,159.89943669468875,170.59108258671063,1.75,513.1276357716825
2020-02-09 23:00:00,75.00000000000001,1.75,249.09859783171623,149.28992599155407,1.75,783.7261881723681
2020-02-10 01:00:00,49.252044986558545,1.75,244.42352548979522,113.42674707060763,1.75,870.120299951663
2020-02-10 03:00:00,63.95572473141427,1.75,442.3650729503347,111.43741001281846,1.75,505.20659530979015
2020-02-10 05:00:00,65.38145188981625,1.75,559.1553657334337,113.42674707060763,1.75,259.24676196334315
2020-02-10 07:00:00,46.50672387383336,1.75,159.90012856523515,83.18241346752067,1.75,522.846353190066
2020-02-10 09:00:00,9.455780002881461,1.75,73.50722123276428,78.45698564561687,1.75,564.94619531049
2020-02-10 11:00:00,39.65828306979712,1.75,187.9274817059971,93.50424203083215,1.75,461.47187377238356
2020-02-10 13:00:00,13.003523202918124,1.75,104.44268729241102,78.45698564561687,1.75,537.7125399915611
2020-02-10 15:00:00,33.818323137766015,1.75,237.13753854123976,111.43741001281846,1.75,338.7603566956574
2020-02-10 17:00:00,28.838338206359808,1.75,275.92861391469347,140.80906158280615,1.75,166.16630451641691
2020-02-10 19:00:00,27.948833178791297,1.75,345.8989628720514,148.89360412999696,1.75,107.06759120750411
2020-02-10 21:00:00,21.05394036466873,1.75,482.57874041711244,129.95582778807707,1.75,118.77642813923735
2020-02-10 23:00:00,24.59169093383166,1.75,720.9464031705103,177.92222397801424,1.75,59.961609675946626
2020-02-11 07:00:00,37.53860261462001,1.4333333333333345,2201.413835271049,52.09935278563838,1.166666666666667,40.81147935660438
2020-02-11 13:00:00,37.101714098457045,1.75,2053.5508954915645,293.9527015970298,1.75,34.92461630130457
2020-02-11 15:00:00,33.818323137766015,1.75,1589.5428365871217,200.00000000000003,1.75,26.02477828545827
2020-02-11 17:00:00,27.141660245843465,1.7666666666666688,1392.06441602361,162.77354202015368,1.2333333333333338,60.012474981115844
2020-02-11 19:00:00,20.44589455876531,1.9666666666666694,1466.4633037933736,150.29708060530885,1.3666666666666676,94.39945189201786
2020-02-11 21:00:00,21.05394036466873,1.75,1153.7048013926897,98.99999999999994,1.75,234.49015760788367
2020-02-11 23:00:00,24.25763935357987,1.75,1155.8185131929731,98.99999999999994,1.75,264.04178047434044
2020-02-12 01:00:00,28.838338206359808,1.75,733.7393703377138,140.80906158280615,1.75,168.53339948698633
2020-02-12 03:00:00,32.20170209763737,1.75,484.12642473613397,148.89360412999696,1.75,149.7959795930594
2020-02-12 07:00:00,28.838338206359808,1.75,684.7794635905556,149.28992599155407,1.75,137.80928072790164
2020-02-12 09:00:00,32.20170209763737,1.75,750.386601383454,170.59108258671063,1.75,124.1255939918029
2020-02-12 11:00:00,27.948833178791297,1.75,735.9658377343649,148.89360412999696,1.75,147.85299731879286
2020-02-12 13:00:00,27.141660245843465,2.06666666666667,701.2572048338686,165.08042085499787,1.2666666666666673,77.42980384492459
2020-02-12 15:00:00,12.606836890152643,1.9000000000000026,573.0707047261895,43.76767718453145,1.5666666666666682,391.3050147902701
2020-02-12 17:00:00,14.244146528757842,2.06666666666667,656.6533984041467,51.81965761013551,2.06666666666667,513.3987727778822
2020-02-12 19:00:00,15.249053064671498,1.75,738.7814974917204,74.00000000000001,1.75,394.968639882152
2020-02-12 23:00:00,24.59169093383166,1.75,388.44956358127047,105.10687191318655,1.75,187.2026711600209
2020-02-13 01:00:00,28.838338206359808,1.75,416.019931786083,140.80906158280615,1.75,159.5715500598133
2020-02-13 03:00:00,33.818323137766015,1.75,243.24461117884525,158.281588926413,1.75,68.74691028907434
2020-02-13 05:00:00,33.818323137766015,1.75,270.70941509160986,149.28992599155407,1.75,79.42284513313702
2020-02-13 11:00:00,30.368565966501706,2.06666666666667,247.54862218440425,215.68447299459044,1.2666666666666673,36.05033496928789
2020-02-13 19:00:00,6.713821531431786,1.6666666666666685,276.77490622432117,45.65504326881386,2.06666666666667,360.73102819772754
2020-02-13 21:00:00,14.739573470854506,1.466666666666668,621.4473559100416,45.65504326881386,1.3666666666666676,244.85415885238677
2020-02-13 23:00:00,26.267295498320916,1.8333333333333357,350.0458927029015,169.17404525734446,1.2666666666666673,60.39560929826686
2020-02-14 01:00:00,34.145491727492136,1.700000000000002,308.67529619668045,161.25356015418186,1.2666666666666673,46.61525246182209
2020-02-14 03:00:00,33.818323137766015,1.75,289.09446751449474,177.92222397801424,1.75,62.01373849179284
2020-02-14 05:00:00,33.818323137766015,1.75,243.2347908901978,188.63839692809853,1.75,75.22165183862634
2020-02-14 07:00:00,39.65828306979712,1.75,425.5825785753949,140.80906158280615,1.75,114.54492463552003
2020-02-14 11:00:00,33.818323137766015,1.75,259.5360972563067,118.1492334832489,1.75,123.02013529245339
2020-02-14 17:00:00,7.697748665232943,2.06666666666667,695.361796031284,47.62379705665398,1.8666666666666691,787.212931580178
2020-02-15 01:00:00,27.948833178791297,1.75,1835.4482852644885,98.99999999999994,1.75,465.36978436111605
2020-02-15 03:00:00,32.20170209763737,1.75,1404.106714794075,129.95582778807707,1.75,246.44195373625823
2020-02-15 05:00:00,39.65828306979712,1.75,1145.2761881916804,132.8099782496523,1.75,306.67863653272576
2020-02-15 09:00:00,46.50672387383336,1.75,674.7936846870386,149.28992599155407,1.75,163.7560453178303
2020-02-15 11:00:00,46.50672387383336,1.75,770.1871824769768,149.28992599155407,1.75,163.0444881285979
2020-02-15 13:00:00,42.747342512203495,1.75,880.8119424491756,148.89360412999696,1.75,153.30084450865883
